0,1,2,3,4,5,6,7,8
0,-1.63,44.01,27.0,0.0,0.0,0.0,0.0,100.0
1,-1.15,39.54,34.38260869565217,0.0,0.0,0.0,10.0,90.0
2,-0.69,34.97,50.68115942028986,0.0,0.0,0.0,20.0,80.0
3,-0.25,30.37,121.48,0.0,0.0,0.0,30.0,70.0
4,0.16000000000000003,25.58,159.87499999999997,0.0,0.0,0.0,40.0,60.0
5,0.5599999999999999,20.57,36.73214285714286,0.0,0.0,0.0,50.0,50.0
6,0.93,15.36,16.516129032258064,0.0,0.0,0.0,60.0,40.0
7,1.2799999999999998,12.66,9.890625000000002,0.0,0.0,0.0,70.0,30.0
8,1.62,13.11,8.092592592592592,0.0,0.0,0.0,80.0,20.0
9,1.9300000000000002,13.57,7.031088082901554,0.0,0.0,0.0,90.0,10.0
10,2.23,14.08,6.31390134529148,0.0,0.0,0.0,100.0,0.0
11,-0.9500000000000001,38.77,40.810526315789474,0.0,0.0,10.0,0.0,90.0
12,-0.49,34.15,69.6938775510204,0.0,0.0,10.0,10.0,80.0
13,-0.06,29.5,491.6666666666667,0.0,0.0,10.0,20.0,70.0
14,0.36,24.66,68.5,0.0,0.0,10.0,30.0,60.0
15,0.7499999999999999,19.6,26.13333333333334,0.0,0.0,10.0,40.0,50.0
16,1.12,14.34,12.803571428571427,0.0,0.0,10.0,50.0,40.0
17,1.48,11.87,8.02027027027027,0.0,0.0,10.0,60.0,30.0
18,1.81,12.22,6.751381215469613,0.0,0.0,10.0,70.0,20.0
19,2.12,12.68,5.981132075471698,0.0,0.0,10.0,80.0,10.0
20,2.42,13.19,5.450413223140496,0.0,0.0,10.0,90.0,0.0
21,-0.30000000000000004,33.32,111.06666666666665,0.0,0.0,20.0,0.0,80.0
22,0.14,28.62,204.42857142857142,0.0,0.0,20.0,10.0,70.0
23,0.5499999999999999,23.73,43.14545454545455,0.0,0.0,20.0,20.0,60.0
24,0.9400000000000001,18.63,19.819148936170212,0.0,0.0,20.0,30.0,50.0
25,1.31,13.31,10.16030534351145,0.0,0.0,20.0,40.0,40.0
26,1.67,11.09,6.640718562874252,0.0,0.0,20.0,50.0,30.0
27,2.0,11.41,5.705,0.0,0.0,20.0,60.0,20.0
28,2.31,11.79,5.103896103896103,0.0,0.0,20.0,70.0,10.0
29,2.61,12.38,4.743295019157089,0.0,0.0,20.0,80.0,0.0
30,0.32999999999999996,27.74,84.06060606060606,0.0,0.0,30.0,0.0,70.0
31,0.7399999999999999,22.8,30.810810810810818,0.0,0.0,30.0,10.0,60.0
32,1.13,17.64,15.61061946902655,0.0,0.0,30.0,20.0,50.0
33,1.5099999999999998,12.64,8.37086092715232,0.0,0.0,30.0,30.0,40.0
34,1.8599999999999999,10.31,5.543010752688173,0.0,0.0,30.0,40.0,30.0
35,2.19,10.62,4.8493150684931505,0.0,0.0,30.0,50.0,20.0
36,2.5,10.93,4.372,0.0,0.0,30.0,60.0,10.0
37,2.8000000000000003,11.58,4.135714285714285,0.0,0.0,30.0,70.0,0.0
38,0.93,21.86,23.50537634408602,0.0,0.0,40.0,0.0,60.0
39,1.33,16.65,12.518796992481201,0.0,0.0,40.0,10.0,50.0
40,1.7000000000000002,12.46,7.329411764705882,0.0,0.0,40.0,20.0,40.0
41,2.0500000000000003,9.57,4.668292682926829,0.0,0.0,40.0,30.0,30.0
42,2.38,9.84,4.1344537815126055,0.0,0.0,40.0,40.0,20.0
43,2.69,10.15,3.7732342007434947,0.0,0.0,40.0,50.0,10.0
44,2.99,10.78,3.6053511705685612,0.0,0.0,40.0,60.0,0.0
45,1.52,15.66,10.302631578947368,0.0,0.0,50.0,0.0,50.0
46,1.8900000000000001,12.36,6.539682539682539,0.0,0.0,50.0,10.0,40.0
47,2.24,9.11,4.066964285714285,0.0,0.0,50.0,20.0,30.0
