Totale della Popolazione residente al 1° Gennaio 2019 per sesso e stato civile (Dati provvisori;;;;
Codice Regione;Regioni;Totale Maschi;Totale Femmine;Maschi + Femmine
1;Piemonte;2115079;2241327;4356406
2;Valle d'Aosta/Vallée d'Aost;61423;64243;125666
3;Lombardia;4924451;5136123;10060574
4;Trentino-Alto Adige/Südtiro;528210;544066;1072276
5;Veneto;2399783;2506071;4905854
6;Friuli-Venezia Giulia;590802;624418;1215220
7;Liguria;741760;808880;1550640
8;Emilia-Romagna;2168535;2290942;4459477
9;Toscana;1800741;1928900;3729641
10;Umbria;424819;457196;882015
11;Marche;740927;784344;1525271
12;Lazio;2838406;3040676;5879082
13;Abruzzo;640136;671444;1311580
14;Molise;150580;155037;305617
15;Campania;2828490;2973202;5801692
16;Puglia;1959903;2069150;4029053
17;Basilicata;276697;286172;562869
18;Calabria;955673;991458;1947131
19;Sicilia;2432589;2567302;4999891
20;Sardegna;805762;833829;1639591
TOTALE;;29384766;30974780;60359546
