Time,Infected,Deaths,Recovered
0,20,1,0
1,62,2,16
2,155,3,16
3,229,7,18
4,322,10,18
5,453,12,22
6,655,17,22
7,888,21,22
8,1128,29,22
9,1694,34,27
10,2036,52,30
11,2502,79,30
12,3089,107,30
13,3858,148,41
14,4636,197,41
15,5883,233,135
16,7375,366,135
17,9172,463,118
18,10149,631,118
19,12462,827,247
20,12462,827,288
21,17660,1266,333
22,21157,1441,510
23,24747,1809,510
24,27980,2158,510
25,31506,2503,1137
26,35713,2978,1407
27,41035,3405,1540
28,47021,4032,1540
29,53578,4825,1540
30,59138,5476,1540
31,63927,6077,2909
32,69176,6820,2909
33,74386,7503,3507
