t,s,i,r,m
0,59999998.0,2.0,0.0,0.0
1,59999997.00958412,2.8199484045603613,0.159387067936579,0.011080384402008165
2,59999995.61312322,3.976054569064817,0.3841187403029833,0.026703441839244828
3,59999993.64414954,5.606134300030629,0.7009845850563408,0.04873154869375631
4,59999990.867947616,7.904504511146113,1.1477572425232454,0.07979061044279245
5,59999986.95357485,11.145146898956865,1.7776951446097775,0.12358308491939629
6,59999981.434411176,15.71436821774299,2.6658912553151226,0.1853293386047946
7,59999973.6525344,22.156850901143315,3.918224733949504,0.27238995476654304
8,59999962.68029232,31.240582157229678,5.683982357128153,0.39514315851693044
9,59999947.209721066,44.04840248150233,8.173654470479349,0.5682219685359975
10,59999925.396629006,62.10708572438729,11.684026712481476,0.8122585415094074
11,59999894.64076075,87.56933705081418,16.633558545434646,1.1563436421959914
12,59999851.275837764,123.47040206828513,23.61226574765308,1.6414944102646527
13,59999790.132530816,174.08987258635938,33.452052810290354,2.3255437782554793
14,59999703.92227662,245.46181047958692,47.325878545546786,3.290034337390953
15,59999582.36850346,346.09398363002197,66.88757456625247,4.649938338830385
16,59999410.98173772,487.98191916415726,94.46898080468272,6.567362301929814
17,59999169.33266037,688.0385787692625,133.35789140157198,9.270869455724254
18,59998835.91541817,962.968964064616,188.0431026084454,13.072515154597806
19,59998389.20129763,1328.4497499300198,263.9962705326367,18.352681908685973
20,59997799.098511316,1807.3106839513255,368.00740244281366,25.583402308858705
21,59997030.14809721,2425.9895984698765,508.51125455385204,35.351049781818595
22,59996041.25283877,3214.5445311067274,695.829459173499,48.37317095858549
23,59994785.55634752,4206.519906388321,942.4087026171942,65.515043497452
24,59993210.50248125,5438.647727326642,1263.0445549936583,87.8052364434094
25,59991258.09967257,6950.37150471312,1675.0794492521861,116.4493734774247
26,59988865.406859286,8783.189029507907,2198.5628439905017,152.84126722928622
27,59985965.24851358,10979.819357304239,2856.361540730801,198.57058839305031
28,59982487.155376345,13583.209426296751,3674.2089095422584,255.42628782914093
29,59978358.51646149,16635.405376637027,4680.68308136196,325.39508052248914
30,59973505.91669459,20176.3226847894,5907.10618028414,410.65444034060863
31,59967856.62462147,24242.45649202072,7387.359158880192,513.5597276226871
32,59961340.185716465,28865.57918551129,9157.609816656795,636.6252813718627
33,59953890.070447326,34071.47523078592,11255.954790977403,782.4995309235627
34,59945445.32205425,39878.76383090906,13721.979697386641,953.9344174653816
35,59935952.14761157,46297.857782868465,16596.244956203096,1153.7496493617125
36,59925365.39736601,53330.102270739044,19919.70783965188,1384.792523612163
37,59913649.88125892,60967.13042615063,23733.094074468863,1649.8942404710972
38,59900781.477962606,69190.4637999082,28076.234452064084,1951.82378543761
39,59886748.00000322,77971.3759658044,32987.38346897615,2293.240562014385
40,59871549.788071856,87271.02702944817,38502.53788028934,2676.647018415836
41,59855200.01829771,97040.86593701354,44654.773240549395,3104.3425247440755
42,59837724.71758548,107223.28679974265,51473.615899832985,3578.3797149616516
43,59819162.49152479,117752.51734578061,58984.4667060336,4100.5244234141
44,59799563.97996024,128555.708793305,67208.09101545111,4672.220231020665
45,59778991.06396945,139554.19043753433,76160.18712949428,5294.558463547731
46,59757515.854494244,150664.84822078422,85851.04296147423,5968.254323524947
47,59735219.49883218,161801.5838674454,96285.28767587226,6693.629624525878
48,59712190.84454516,172876.81090016084,107461.74215864098,7470.602396055254
49,59688525.00173768,183802.94496876476,119373.36982950274,8298.683464083078
50,59664321.84618392,194493.84891785597,132007.32507986814,9176.979818386555
51,59639684.50247527,204866.1968588542,145345.09612261856,10104.204543283644
52,59614717.84503685,214840.72678136177,159362.73534999668,11078.692831817949
53,59589527.050934024,224343.35682154493,174031.16874856196,12098.423495889334
54,59564216.2330788,233306.14676841925,189316.57484286884,13161.045309932057
55,59538887.17880445,241668.09137694296,205180.82238041656,14263.907438210776
56,59513638.212506324,249375.73922370703,221581.95513244267,15404.093137549491
57,59488563.196115986,256383.63582079907,238474.71213912492,16578.45592411029
58,59463750.67589539,262654.59492084966,255811.07178683428,17783.6573969457
59,59439283.18114702,268159.8044905734,273540.80842887005,19016.20593355781
60,59415236.67234005,272878.78110288974,291612.0510308681,20272.495526210078
61,59391680.13375357,276799.18847611296,309971.83371526666,21548.84405507201
62,59368675.31109802,279916.527635319,328566.63078434905,22841.530482334423
63,59346276.57518772,282233.72791965026,347342.8665946259,24146.83029802212
64,59324530.90568684,283760.6501273846,366247.3953137128,25461.04887207629
65,59303477.982538365,284513.51925690525,385227.9458214321,26780.552383308113
66,59283150.36812627,284514.30989629985,404233.52604890533,28101.795928533524
67,59263573.77035307,283790.09556412685,423214.78536743147,29421.348715382934
68,59244767.371065915,282372.37969938095,442124.3330344605,30735.916200256608
69,59226744.20658795,280296.4228557077,460917.0114701927,32042.359086163127
70,59209511.58858482,277600.57730143995,479550.12489635166,33337.70921739343
71,59193071.55326872,274325.640249047,497983.62406089593,34619.18242134571
72,59177421.32818984,270514.23483908025,516180.24856796575,35884.18840312061
73,59162553.806205384,266210.22625099315,534105.6296533033,37130.33789033659
74,59148458.021371946,261458.1775644611,551728.353994475,38355.44706913462
75,59135119.61601075,256302.8503280785,569019.99397321,39557.539687977165
76,59122521.29470885,250788.75337140937,585955.1050449729,40734.846874784205
77,59110643.26016928,244959.7390300275,602511.1957486556,41885.80505204557
78,59099463.62675679,238858.65016698543,618668.6710762862,43009.05199995573
79,59088958.80937285,232527.01380897532,634410.7553250048,44103.42149318215
80,59079103.88423077,226004.78462966104,649723.394615513,45167.93652407309
81,59069872.92239552,219330.13080970588,664595.1452531235,46201.801541660985
82,59061239.292537145,212539.26592660722,679017.0478364003,47204.39369985671
83,59053175.936294354,205666.31741145044,692982.4927850881,48175.25350912377
84,59045655.61257846,198743.23535999257,706487.0771775607,49114.07488400154
85,59038651.11611831,191799.73132598813,719528.4576395912,50020.694916121305
86,59032135.466553025,184863.25075657983,732106.1993155313,50895.0833748765
87,59026082.0743264,177958.96888236923,744221.6245998011,51737.332191430025
88,59020464.880005725,171109.81315789942,755877.6618920183,52547.6449443649
89,59015258.473449975,164336.5031501816,767078.6968788592,53326.32652099021
90,59010438.19003447,157657.61009657558,777830.4268774776,54073.7729914824
91,59005980.18985384,151089.62862979158,788139.7197178116,54790.461798564436
92,59001861.517916046,144647.06191364324,798014.47785925,55476.94231107086
93,58998060.15034349,138342.51448464894,807463.5083856935,56133.82678617121
94,58994555.025447786,132186.7931343915,816496.3996256716,56761.78179215899
95,58991326.063523,126189.01186796356,825123.404509453,57361.52009958764
96,58988354.17530443,120356.7004360803,833355.3311826343,57933.79307686763
97,58985621.2619659,114695.91387230023,841203.4405912928,58479.38357051768
98,58983110.205407925,109211.34298800306,848679.3522498184,58999.09935426545
99,58980804.85395786,103906.42294913858,855794.9560919688,59493.767001045955
100,58978690.000831194,98783.44002295217,862562.3328013896,59964.226344481634
101,58976751.35888793,93843.63569593657,868993.6800640947,60411.32535204936
102,58974975.53112848,89087.30679176959,875101.2465445794,60835.91553518466
103,58973349.9785206,84513.90187954681,880897.2718258811,61238.84777399173
104,58971862.98571792,80122.11281869306,886393.9328682859,61620.96859512148
105,58970503.625111386,75909.96149593151,891603.2965221779,61983.11687052573
106,58969261.71993412,71874.88190309545,896537.2772822233,62326.12088058237
107,58968127.80694889,68013.79627316067,901207.6009874016,62650.79579056802
108,58967093.098823674,64323.18709189054,905625.7726689635,62957.94141548945
109,58966149.447134025,60799.16276043751,909803.0497486943,63248.340356861096
110,58965289.305459015,57437.519308402574,913750.4188424881,63522.756390119495
111,58964505.69370759,54233.796096643884,917478.5770330573,63781.93316272591
112,58963792.163055554,51183.32749236834,920997.9163377155,64026.59311438663
113,58963142.76228434,48281.289431348785,924318.5116458551,64257.43663848191
114,58962552.00525537,45522.741719585916,927450.111578433,64475.14144662903
115,58962014.83968188,42902.66621861045,930402.1319830654,64680.36211646979
116,58961526.617498204,40416.000720790056,933183.6519652602,64873.72981576675
117,58961083.06635294,38057.669591305894,935803.4118921481,65055.85216362527
118,58960680.262951426,35822.61032219701,938269.8134891817,65227.31323721583
119,58960314.607438356,33705.79741059631,940590.9214662452,65388.67368481918
120,58959982.79961099,31702.262716601457,942774.4667237191,65540.47094870773
121,58959681.81623374,29807.113417234832,944827.8507763547,65683.21957268775
122,58959408.889963195,28015.547136852452,946758.151311473,65817.41158849811
123,58959161.48948375,26322.864871545178,948572.1286778166,65943.51696690703
124,58958937.30098215,24724.481743638004,950276.2331514118,66061.98412282541
