"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-13.7502567301954,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",8.53348294610262,
"AUT","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-12.6572071949132,
"AUT","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",9.91330508469733,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-20.8209369617092,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",19.5478903680484,
"CAN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-14.0502757810629,
"CAN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",11.6128210697022,
"CZE","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-36.206961337176,
"CZE","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",26.2601323730106,
"DNK","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-11.8529955669262,
"DNK","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",9.81805260679235,
"FIN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-15.002261249657,
"FIN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",6.97403112258459,
"FRA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-25.9559130112569,
"FRA","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",21.1209896085473,
"DEU","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-19.3644080440254,
"DEU","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",16.9281634174848,
"GRC","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-18.2442833178915,
"GRC","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",13.1094109007817,
"HUN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-23.5546093312321,
"HUN","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",9.34603423870944,
"ISL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-17.1825277407362,
"ISL","REALGDPFORECAST","SINGLEHIT","AGRWTH","Q","2020-Q4",4.64148054486438,
"IRL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q4",-19.2091957093751,
