t,s,i,r
0,59999998.0,2.0,0.0
1,59999997.00958412,2.8199484045603613,0.17046745233858718
2,59999995.61312322,3.976054569064817,0.41082218214222815
3,59999993.64414954,5.606134300030629,0.749716133750097
4,59999990.867947616,7.904504511146113,1.2275478529660377
5,59999986.95357485,11.145146898956865,1.901278229529174
6,59999981.434411176,15.71436821774299,2.8512205939199173
7,59999973.6525344,22.156850901143315,4.190614688716047
8,59999962.68029232,31.240582157229678,6.079125515645083
9,59999947.209721066,44.04840248150233,8.741876439015346
10,59999925.396629006,62.10708572438729,12.496285253990884
11,59999894.64076075,87.56933705081418,17.789902187630638
12,59999851.275837764,123.47040206828513,25.253760157917732
13,59999790.132530816,174.08987258635938,35.77759658854583
14,59999703.92227662,245.46181047958692,50.615912882937735
15,59999582.36850346,346.09398363002197,71.53751290508285
16,59999410.98173772,487.98191916415726,101.03634310661253
17,59999169.332660265,688.0385788662564,142.62876085730971
18,59998835.85125725,963.0317386948166,201.11700405310364
19,59998388.84903979,1328.7880285811877,282.36293163545463
20,59997798.028064266,1808.3220250256327,393.6499107082954
21,59997027.61628585,2428.3470210097894,544.0366931440133
22,59996036.063620664,3219.3126348195365,744.623744527387
23,59994775.88437607,4215.29837962521,1008.8172443057354
24,59993193.67746048,5453.742813251702,1352.5797262703666
25,59991230.35065117,6974.994309065425,1794.6550397662209
26,59988821.56771104,8821.677604274326,2356.7546846802716
27,59985898.42825953,11037.87937798738,3063.69236247966
28,59982388.379578575,13668.166153803168,3943.454267617405
29,59978216.34849578,16756.457610506845,5027.193893704713
30,59973306.07012485,20344.787727471485,6349.142147673199
31,59967581.57994562,24471.993925377763,7946.426128995532
32,59960968.82628817,29172.380624902748,9858.79308691251
33,59953397.35326286,34474.40725904056,12128.239478092568
34,59944801.999210194,40399.45208423334,14798.54870556757
35,59935124.55356009,46960.70165428018,17914.744785619332
36,59924315.31562723,54162.211842426834,21522.472530341012
37,59912334.502028026,61998.17996595032,25667.318006012927
38,59899153.45520575,70452.45929798539,30394.08549625515
39,59884755.61330674,79498.33757598743,35746.04911726319
40,59869137.2108101,89098.59079923348,41764.19839065234
41,59852307.690070584,99205.81237773744,48486.49755166902
42,59834289.814972036,109763.00711699748,55947.17791096148
43,59815119.487907045,120704.4305600169,64176.08153293
44,59794845.28211023,131956.64503959304,73198.0728501655
45,59773527.71059829,143439.7570667346,83032.53233495844
46,59751238.26014016,155068.79594406864,93692.94391575718
47,59728058.22529673,166755.19011046324,105186.58459279097
48,59704077.38169335,178408.29673443633,117514.3215721994
49,59679392.53957742,189936.94075558946,130670.51966697579
50,59654106.021275945,201250.92167567732,144643.05704836108
51,59628324.10279154,212262.45037295218,159413.44683549067
52,59602155.45948718,222887.4827842954,174957.05772850916
53,59575709.65187429,233046.92286042147,191243.42526528228
54,59549095.682616755,242667.67367763142,208236.64370560524
55,59522420.651956536,251683.5208778092,225895.82716564942
56,59495788.53307582,260035.8393701309,244175.6275540485
57,59469299.0834406,267674.1200270674,263026.79653233
58,59443046.90275014,274556.3185289146,282396.77872094675
59,59417120.6461311,280649.0302671169,302230.32360178255
60,59391602.388690375,285927.507110691,322470.10419893137
61,59366567.14352989,290375.52531842206,343057.33115168975
62,59342082.528341465,293985.11820817325,363932.35345035675
63,59318208.56847078,296756.1966408514,385035.23488836
64,59294997.62627008,298696.0737003801,406306.3000295357
65,59272494.447611235,299818.9081847424,427686.6442040198
66,59250736.30787481,300145.0917793379,449118.60034584405
67,59229753.24668749,299700.5923259766,470546.1609865349
68,59209568.37645238,298516.2710477867,491915.3524998252
69,59190198.2506605,296627.1896085697,513174.55973092356
70,59171653.27917927,294071.91945175495,534274.8013689732
71,59153938.178539075,290891.8651339798,555169.9563269325
72,59137052.44529251,287130.61219800176,575816.9425094777
73,59120990.84098766,282833.3080816893,596175.8509306412
74,59105743.8844411,278046.08036311454,616210.0351957731
75,59091298.336587206,272815.50023212435,635886.1631806531
76,59077637.6769281,267188.09325293405,655174.2298189512
77,59064742.562193066,261209.89877440804,674047.5390325096
78,59052591.26540604,254926.0810602279,692482.6535337188
79,59041160.09008472,248380.5887616888,710459.3211535828
80,59030423.75746779,241615.86636406675,727960.3761681301
81,59020355.76590321,234672.61008733575,744971.6240094458
82,59010928.719443485,227589.572415655,761481.7081408558
83,59002114.627841145,220403.40591963925,777481.9662392129
