t,s,i,r
0,59999987.0,13.0,0.0
1,59999980.56229867,18.329662944033323,1.108038395891056
2,59999971.48530749,25.84434864517376,2.6703438695591304
3,59999958.68698902,36.43985715556297,4.873153839976829
4,59999940.64169967,51.37924211546829,7.979058226384678
5,59999915.19832697,72.44337156544553,12.358301472950686
6,59999879.32386669,102.14321536845165,18.532917945197767
7,59999828.74188117,144.0191580981256,27.23896072798924
8,59999757.422742896,203.06301508944716,39.51424200569721
9,59999656.86491123,286.3130459904711,56.82204277922507
10,59999515.081588484,403.69287457290795,81.22553694953551
11,59999315.172009006,569.1942736350073,115.63371736133564
12,59999033.30714561,802.5447234971809,164.14813090324864
13,59998635.88990898,1131.5583532587582,232.5517377853218
14,59998075.55170678,1595.4501598406953,328.9981334001025
15,59997285.508891344,2249.5078878414633,464.9832208402904
16,59996171.607876435,3171.677103655359,656.7150199334751
17,59994601.11361224,4471.84175640635,927.0446313764443
18,59992433.83832863,6258.983490556478,1307.1781808401215
19,59989528.767800495,8636.020245667967,1835.2119538646577
20,59985688.98798688,11752.529294846645,2558.482718301729
21,59980682.0539096,15782.081552888605,3535.86453753267
22,59974238.07364058,20922.431692463106,4839.494666987337
23,59966048.78168413,27394.738893114103,6556.479422778664
24,59955767.81942709,35441.675328175974,8790.505244764392
25,59943012.40618017,45324.3218064743,11663.272013376076
26,59927366.538829036,57317.80167508576,15315.659495895605
27,59908385.79425922,71705.66853521246,19908.53720558779
28,59885603.73753741,88773.13133251478,25623.131130100846
29,59858539.85856807,108799.27198024691,32660.869451705945
30,59826708.87930143,132048.4779137224,41242.64278486073
31,59789631.19335098,158761.3738769488,51607.432772083375
32,59746844.12976975,189145.58543173416,64010.284798531335
33,59697913.67346812,223366.70075075174,78719.62578115026
34,59642446.23305868,261539.81208766397,96013.95485367125
35,59580100.02554252,303722.01269905776,116177.96175844072
36,59510595.646826446,349906.19915499917,139498.15401857003
37,59433725.419881575,400016.48295623204,166258.0971622126
38,59349361.15734966,453905.4503522677,196733.3922980968
39,59257460.032708414,511353.43893233995,231186.52835926786
40,59158068.34462194,572069.8970787638,269861.7582993154
41,59051323.034865506,635696.8194443843,312980.14569012786
42,58937450.91942774,701814.1518519251,360734.92872035294
43,58816765.68862318,769946.9767539537,413287.3346228764
44,58689662.814997196,839574.2212384566,470762.9637643659
45,58556612.58789111,910138.5713491772,533248.8407597301
46,58418151.55574244,981057.2381107094,600791.2061468645
47,58274872.701493494,1051733.2016199322,673394.0968865887
48,58127414.70624369,1121566.5577514025,751018.7360049245
49,57976450.66929025,1189965.606699264,833583.7240104958
50,57822676.63239807,1256357.3620042996,920966.0055976436
51,57666800.25049911,1320197.1933094067,1013002.5561914995
52,57509529.90311,1380977.3772812476,1109492.7196087725
53,57351564.50437167,1438234.3829006907,1210201.112727659
54,57193584.21820067,1491554.780318685,1314861.0014806641
55,57036242.23254605,1540579.7194559206,1423178.047998052
56,56880157.693427905,1585007.980123593,1534834.3264485179
57,56725909.87712699,1624597.6158576796,1649492.5070153386
58,56574033.54497261,1659166.3459146724,1766800.10911272
