date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-02-24,0,221.0,257.45167154604763,184.5483284539524
2020-02-25,1,290.2427342890568,338.11528098105435,242.37018759705919
2020-02-26,2,381.18007332505476,444.0517965501373,318.30835009997224
2020-02-27,3,500.60904818476547,583.1793495305147,418.0387468390162
2020-02-28,4,657.4561112138331,765.896718552785,549.0155038748811
2020-02-29,5,863.444192787183,1005.8604104967786,721.0279750775875
2020-03-01,6,1133.9686163539513,1321.0050486926857,946.9321840152169
2020-03-02,7,1489.247299470956,1734.8832877567193,1243.6113111851928
2020-03-03,8,1955.8309943863212,2278.425152788809,1633.236835983833
2020-03-04,9,2568.5861815270528,2992.2479906978256,2144.92437235628
2020-03-05,10,3373.298286254254,3929.689060722061,2816.907511786447
2020-03-06,11,4430.088912790922,5160.786405862605,3699.3914197192394
2020-03-07,12,5817.900941192786,6777.503720359306,4858.298162026267
2020-03-08,13,7640.384048190469,8900.586626517621,6380.181469863317
2020-03-09,14,10033.616058327882,11688.55758311212,8378.674533543643
2020-03-10,15,11644.635361435625,13565.29791106704,9723.97281180421
2020-03-11,16,13427.045924697599,15641.698720538205,11212.393128856993
2020-03-12,17,15385.213054554213,17922.84533025817,12847.580778850259
2020-03-13,18,17521.645562659185,20411.660354497715,14631.630770820655
2020-03-14,19,19836.823556920597,23108.703090014576,16564.944023826618
2020-03-15,20,22329.06297602728,26012.01170694655,18646.11424510801
2020-03-16,21,24994.41965277505,29116.99148837249,20871.84781717761
2020-03-17,22,27826.637893666557,32416.35492864726,23236.920858685855
2020-03-18,23,30817.144954419895,35900.11529770248,25734.174611137303
2020-03-19,24,33955.09213200589,39555.6345107917,28354.54975322008
2020-03-20,25,37227.441880727296,43367.724613468694,31087.1591479859
2020-03-21,26,40619.09890301923,47318.80049446393,33919.397311574525
2020-03-22,27,44113.081942463075,51389.08001418501,36837.08387074114
2020-03-23,28,47690.7320500809,55556.82662238911,39824.63747777269
2020-03-24,29,51331.952127909615,59798.628412000115,42865.275843819116
2020-03-25,30,55015.471851464434,64089.70673780113,45941.23696512774
2020-03-26,31,58719.131645256595,68404.24703078611,49034.016259727076
2020-03-27,32,62420.17909013869,72715.74409484098,52124.614085436406
2020-03-28,33,66095.57127326429,76997.35432621185,55193.78822031673
2020-03-29,34,69722.2762215964,81222.2468653631,58222.30557782972
2020-03-30,35,73277.5677676675,85363.94709780443,61191.18843753057
2020-03-31,36,76739.30765167333,89396.66528601674,64081.95001732992
2020-04-01,37,80086.21051830193,93295.60527477598,66876.81576182788
2020-04-02,38,83298.08658401386,97037.24718389941,69558.9259841283
2020-04-03,39,86356.0589769012,100599.60059607368,72112.51735772872
2020-04-04,40,89242.75330961056,103962.42539787697,74523.08122134415
2020-04-05,41,91942.4563860063,107107.41666347015,76777.49610854246
2020-04-06,42,94441.24396193188,110018.35348817844,78864.13443568531
2020-04-07,43,96727.07717973964,112681.21132890285,80772.94303057644
2020-04-08,44,98789.86693016719,115084.23698182423,82495.49687851015
2020-04-09,45,100621.50773138863,117217.988049455,84025.02741332226
2020-04-10,46,102215.8836075142,119075.33978873656,85356.42742629185
2020-04-11,47,103568.84659468717,120651.46007193843,86486.23311743591
2020-04-12,48,104678.16902670948,121943.75380228988,87412.58425112908
2020-04-13,49,105543.47595319294,122951.78418520183,88135.16772118406
2020-04-14,50,106166.15655546116,123677.1695331351,88655.14357778722
2020-04-15,51,106549.25983372786,124123.46174745425,88975.05792000148
2020-04-16,52,106697.37660873278,124296.00885744985,89098.74436001571
2020-04-17,53,106616.51068034713,124201.8049278842,89031.21643281006
2020-04-18,54,106313.94255099139,123849.3313049919,88778.55379699088
2020-04-19,55,105798.0874281454,123248.39119796795,88347.78365832285
2020-04-20,56,105078.35096070165,122409.9416205198,87746.76030088348
2020-04-21,57,104164.9843375598,121345.92458946895,86984.04408565065
