date,t,s,i,r
2020-02-24,0,59999337.0,663.0,0.0
2020-02-25,1,59999041.24905527,921.3211049526435,37.4298397902654
2020-02-26,2,59998648.530019134,1262.4128792026083,89.05710166029189
2020-02-27,3,59998134.1825797,1706.5241967099919,159.29322358113964
2020-02-28,4,59997469.41120305,2277.001426745229,253.58737020571857
2020-02-29,5,59996621.12365316,3000.3016836343163,378.5746632050663
2020-03-01,6,59995551.8845698,3905.8930184285664,542.2224117781764
2020-03-02,7,59994220.002813764,5026.028541525933,753.9686447200113
2020-03-03,8,59992579.76695038,6395.3863698838395,1024.8466797417368
2020-03-04,9,59990581.83710951,8050.573550806244,1367.5893396824692
2020-03-05,10,59988173.79516996,10029.498464682143,1796.7063653578443
2020-03-06,11,59985300.84777597,12370.623198407553,2328.529025618381
2020-03-07,12,59981906.66950706,15112.113876565714,2981.216616381164
2020-03-08,13,59977934.3666284,18290.9128383646,3774.7205332356752
2020-03-09,14,59973327.53574819,21941.76138931149,4730.702862500906
2020-03-10,15,59968031.3867604,26096.20535025441,5872.407889348787
2020-03-11,16,59961993.895866446,30781.617603572056,7224.486529981815
2020-03-12,17,59955166.9526815,36020.27202204698,8812.775296451267
2020-03-13,18,59947507.46507005,41828.50187951779,10664.03305043664
2020-03-14,19,59938978.38686392,48215.97283645518,12805.640299621959
2020-03-15,20,59929549.63662271,55185.09623249454,15265.267144787837
2020-03-16,21,59919198.87935166,62730.60368573923,18070.51696259303
2020-03-17,22,59907912.14949261,70839.29641421749,21248.55409317649
2020-03-18,23,59895684.29846637,79489.97770282131,24825.72383080578
2020-03-19,24,59882519.256700605,88653.56965727465,28827.173642118574
2020-03-20,25,59868430.10705377,98293.40874367437,33276.484202543856
2020-03-21,26,59853438.97230988,108365.70911785694,38195.318572256554
2020-03-22,27,59837576.725404434,118820.17747852136,43603.09711703303
2020-03-23,28,59820882.53607451,129600.75901132719,49516.704914155525
2020-03-24,29,59803403.27179108,140646.49086871964,55950.23734019452
2020-03-25,30,59785192.77413802,151892.4375186469,62914.78834332763
2020-03-26,31,59766311.03381287,163270.6814806941,70418.28470641794
2020-03-27,32,59746823.28904203,174711.34271317814,78465.36824477547
2020-03-28,33,59726799.0720574,186143.60120556437,87057.32673701279
2020-03-29,34,59706311.228027575,197496.69882438157,96192.07314801926
2020-03-30,35,59685434.929420955,208700.89894952698,105864.17162949589
2020-03-31,36,59664246.70689513,219688.38526669986,116064.90783815438
2020-04-01,37,59642823.5154363,230394.08428126248,126782.40028241368
2020-04-02,38,59621241.851536795,240756.39976119366,138001.74870198767
2020-04-03,39,59599576.936921395,250717.8475058942,149705.2155726825
2020-04-04,40,59577901.973707266,260225.59179356342,161872.43449913993
2020-04-05,41,59556287.48508412,269231.8723718308,174480.6425440289
2020-04-06,42,59534800.742727615,277694.3272750466,187504.92999731097
2020-04-07,43,59513505.28219459,285576.21487222606,200918.50293314524
2020-04-08,44,59492460.50970514,292846.53598180675,214692.95431301466
2020-04-09,45,59471721.39631771,299480.0652369068,228798.5384453421
2020-04-10,46,59451338.2551203,305457.299848919,243204.44503074256
2020-04-11,47,59431356.5986902,310764.33232740586,257879.06898236187
2020-04-12,48,59411817.06984619,315392.6577537501,272790.272400023
2020-04-13,49,59392755.43809336,319338.92562861065,287905.6362779917
2020-04-14,50,59374202.65606346,322604.64467433194,303192.69926216925
2020-04-15,51,59356184.96994219,325195.8500187211,318619.1800390515
2020-04-16,52,59338724.06906965,327122.7444020613,334153.1865282537
2020-04-17,53,59321837.27897033,328399.31764928857,349763.4033803431
2020-04-18,54,59305537.780594505,329042.95504925435,365419.26435620495
2020-04-19,55,59289834.855157085,329074.04102217447,381091.1038207065
2020-04-20,56,59274734.14487644,328515.56474780565,396750.29037572024
2020-04-21,57,59260237.927212365,327392.7309062251,412369.3418813763
2020-04-22,58,59246345.39335808,325732.58534369426,427922.02129819395
2020-04-23,59,59233052.93213289,323563.6512910662,443383.4165760078
2020-04-24,60,59220354.4079793,320915.5902231917,458730.0017974696
2020-04-25,61,59208241.4384667,317818.87695857394,473939.6845746956
2020-04-26,62,59196703.659219846,314304.5039772445,488991.83680287364
2020-04-27,63,59185728.98252651,310403.70426218474,503867.31321126706
2020-04-28,64,59175303.84132405,306147.7022185998,518548.4564573078
2020-04-29,65,59165413.4203037,301567.4883527027,533019.0913435546
2020-04-30,66,59156041.87236029,296693.61901169614,547264.5086279779
2020-05-01,67,59147172.522835605,291556.0366050413,561271.440559312
2020-05-02,68,59138788.053512394,286183.91890208755,575028.0275854754
2020-05-03,69,59130870.67306388,280605.5485846136,588523.7783514588
2020-05-04,70,59123402.27411581,274848.2008651124,601749.5250190353
2020-05-05,71,59116364.570987664,268938.05647028924,614697.3725420004
2020-05-06,72,59109739.22791427,262900.12666453945,627360.6454211585
2020-05-07,73,59103507.967775695,256758.20239182014,639733.8298324486
2020-05-08,74,59097652.67238855,250534.81246202003,651812.5151493909
2020-05-09,75,59092155.46662353,244251.20041547887,663593.3329609574
2020-05-10,76,59086998.793063566,237927.3113255794,675073.8956108164
2020-05-11,77,59082165.47388118,231581.79187229206,686252.7342464931
2020-05-12,78,59077638.76411733,225231.99867778094,697129.2372048522
2020-05-13,79,59073402.39431348,218894.01673303908,707703.5889534458
2020-05-14,80,59069440.60580058,212582.68410843477,717976.7100909486
2020-05-15,81,59065738.17731091,206311.6239308695,727950.1987581885
2020-05-16,82,59062280.44545003,200093.28096122402,737626.2735887073
2020-05-17,83,59059053.31828472,193938.96307932684,747007.7186359096
2020-05-18,84,59056043.284362964,187858.8855079687,756097.8301290207
2020-05-19,85,59053237.41596572,181862.21835438604,764900.3656798485
2020-05-20,86,59050623.36801833,175957.13619198758,773419.4957896402
2020-05-21,87,59048189.374606274,170150.8681078183,781659.7572858668
2020-05-22,88,59045924.24084242,164449.74918812467,789626.0099694198
2020-05-23,89,59043817.333042964,158859.2720084869,797323.3949485109
2020-05-24,90,59041858.56630038,153384.1379117117,804757.2957878647
2020-05-25,91,59040038.39002125,148028.30770718883,811933.302271514
2020-05-26,92,59038347.77235991,142795.05170291776,818857.175937135
2020-05-27,93,59036778.18324034,137686.998019238,825534.8187403828
2020-05-28,94,59035321.57648082,132706.18012961763,831972.2433895182
2020-05-29,95,59033970.3713144,127854.08259962738,838175.546085933
2020-05-30,96,59032717.43356674,123131.68472959421,844150.8817036211
2020-05-31,97,59031556.05633404,118539.50325082836,849904.4404150863
2020-06-01,98,59030479.94096275,114077.63217045448,855442.4268667563
2020-06-02,99,59029483.17781327,109745.78131139826,860771.0408752894
2020-06-03,100,59028560.22725985,105543.31280167971,865896.4599384203
2020-06-04,101,59027705.9012669,101469.27502832243,870824.8237047311
