date,t,R0=0.5,R0=1,R0=1.1,R0=1.2
2020-02-24,0,663.0,663.0,663.0,663.0
2020-02-25,1,923.4794983339101,923.4794983339101,923.4794983339101,923.4794983339101
2020-02-26,2,1268.1160901845203,1268.1160901845203,1268.1160901845203,1268.1160901845203
2020-02-27,3,1717.673837941901,1717.673837941901,1717.673837941901,1717.673837941901
2020-02-28,4,2296.124702265144,2296.124702265144,2296.124702265144,2296.124702265144
2020-02-29,5,3030.665763725293,3030.665763725293,3030.665763725293,3030.665763725293
2020-03-01,6,3951.618581378857,3951.618581378857,3951.618581378857,3951.618581378857
2020-03-02,7,5092.196893153953,5092.196893153953,5092.196893153953,5092.196893153953
2020-03-03,8,6488.134024997922,6488.134024997922,6488.134024997922,6488.134024997922
2020-03-04,9,8177.1679905007295,8177.1679905007295,8177.1679905007295,8177.1679905007295
2020-03-05,10,10198.388926338901,10198.388926338901,10198.388926338901,10198.388926338901
2020-03-06,11,12591.460964648855,12591.460964648855,12591.460964648855,12591.460964648855
2020-03-07,12,15395.737423199387,15395.737423199387,15395.737423199387,15395.737423199387
2020-03-08,13,18649.29449904382,18649.29449904382,18649.29449904382,18649.29449904382
2020-03-09,14,22387.9136793445,22387.9136793445,22387.9136793445,22387.9136793445
2020-03-10,15,26644.046827261172,26644.046827261172,26644.046827261172,26644.046827261172
2020-03-11,16,31445.799863996293,31445.799863996293,31445.799863996293,31445.799863996293
2020-03-12,17,36815.97119998204,36815.97119998204,36815.97119998204,36815.97119998204
2020-03-13,18,42771.179602567325,42771.179602567325,42771.179602567325,42771.179602567325
2020-03-14,19,49321.112961207335,49321.112961207335,49321.112961207335,49321.112961207335
2020-03-15,20,56467.92486450563,56467.92486450563,56467.92486450563,56467.92486450563
2020-03-16,21,64205.80051722364,64205.80051722364,64205.80051722364,64205.80051722364
2020-03-17,22,72520.70604349322,72520.70604349322,72520.70604349322,72520.70604349322
2020-03-18,23,81390.32949249363,81390.32949249363,81390.32949249363,81390.32949249363
2020-03-19,24,90784.21420301517,90784.21420301517,90784.21420301517,90784.21420301517
2020-03-20,25,100664.07842439035,100664.07842439035,100664.07842439035,100664.07842439035
2020-03-21,26,110984.30927649447,110984.30927649447,110984.30927649447,110984.30927649447
2020-03-22,27,121692.61349167596,121692.61349167596,121692.61349167596,121692.61349167596
2020-03-23,28,132730.8032117983,132730.8032117983,132730.8032117983,132730.8032117983
2020-03-24,29,144035.69185656172,144035.69185656172,144035.69185656172,144035.69185656172
2020-03-25,30,155540.07300358923,155540.07300358923,155540.07300358923,155540.07300358923
2020-03-26,31,167173.75437747964,167173.75437747964,167173.75437747964,167173.75437747964
2020-03-27,32,178864.6190109011,178864.6190109011,178864.6190109011,178864.6190109011
2020-03-28,33,190539.68696707246,190539.68696707246,190539.68696707246,190539.68696707246
2020-03-29,34,202126.1527645146,202126.1527645146,202126.1527645146,202126.1527645146
2020-03-30,35,213552.37631185132,213552.37631185132,213552.37631185132,213552.37631185132
2020-03-31,36,224748.80816781457,224748.80816781457,224748.80816781457,224748.80816781457
2020-04-01,37,235648.83350759983,235648.83350759983,235648.83350759983,235648.83350759983
2020-04-02,38,246189.52187977266,246189.52187977266,246189.52187977266,246189.52187977266
2020-04-03,39,256312.27432723515,256312.27432723515,256312.27432723515,256312.27432723515
2020-04-04,40,265963.363147707,265963.363147707,265963.363147707,265963.363147707
2020-04-05,41,275094.3621548285,275094.3621548285,275094.3621548285,275094.3621548285
2020-04-06,42,283662.46530067077,283662.46530067077,283662.46530067077,283662.46530067077
2020-04-07,43,291630.7003347794,291630.7003347794,291630.7003347794,291630.7003347794
2020-04-08,44,298968.04228400893,298968.04228400893,298968.04228400893,298968.04228400893
2020-04-09,45,305649.43081308104,305649.43081308104,305649.43081308104,305649.43081308104
2020-04-10,46,311655.70295760443,311655.70295760443,311655.70295760443,311655.70295760443
2020-04-11,47,316973.44988786406,316973.44988786406,316973.44988786406,316973.44988786406
2020-04-12,48,321594.8057131388,321594.8057131388,321594.8057131388,321594.8057131388
2020-04-13,49,325517.18050977634,325517.18050977634,325517.18050977634,325517.18050977634
2020-04-14,50,328742.94624686724,328742.94624686724,328742.94624686724,328742.94624686724
2020-04-15,51,331279.08592175966,331279.08592175966,331279.08592175966,331279.08592175966
2020-04-16,52,333136.8164775193,333136.8164775193,333136.8164775193,333136.8164775193
2020-04-17,53,334331.1903589647,334331.1903589647,334331.1903589647,334331.1903589647
2020-04-18,54,334880.6892737348,334880.6892737348,334880.6892737348,334880.6892737348
2020-04-19,55,334806.8109859366,334806.8109859366,334806.8109859366,334806.8109859366
2020-04-20,56,334133.6631349069,334133.6631349069,334133.6631349069,334133.6631349069
2020-04-21,57,332887.5604989091,332887.5604989091,332887.5604989091,332887.5604989091
2020-04-22,58,331096.63985575736,331096.63985575736,331096.63985575736,331096.63985575736
2020-04-23,59,328790.48845617817,328790.48845617817,328790.48845617817,328790.48845617817
2020-04-24,60,325999.79363658803,325999.79363658803,325999.79363658803,325999.79363658803
2020-04-25,61,322756.0157327273,322756.0157327273,322756.0157327273,322756.0157327273
2020-04-26,62,319091.08204906393,319091.08204906393,319091.08204906393,319091.08204906393
2020-04-27,63,315037.11017725244,315037.11017725244,315037.11017725244,315037.11017725244
2020-04-28,64,310626.1520311385,310626.1520311385,310626.1520311385,310626.1520311385
2020-04-29,65,305889.97074450686,305889.97074450686,305889.97074450686,305889.97074450686
2020-04-30,66,300859.8335069749,300859.8335069749,300859.8335069749,300859.8335069749
2020-05-01,67,295566.3355240574,295566.3355240574,295566.3355240574,295566.3355240574
2020-05-02,68,290039.2511275564,290039.2511275564,290039.2511275564,290039.2511275564
2020-05-03,69,284307.39833699627,284307.39833699627,284307.39833699627,284307.39833699627
2020-05-04,70,278398.5351486675,278398.5351486675,278398.5351486675,278398.5351486675
2020-05-05,71,272339.26736627275,272339.26736627275,272339.26736627275,272339.26736627275
2020-05-06,72,266154.98230655986,266154.98230655986,266154.98230655986,266154.98230655986
2020-05-07,73,259869.79533852177,259869.79533852177,259869.79533852177,259869.79533852177
2020-05-08,74,253506.51399302916,253506.51399302916,253506.51399302916,253506.51399302916
2020-05-09,75,247086.6158180372,247086.6158180372,247086.6158180372,247086.6158180372
2020-05-10,76,240630.23935709463,240630.23935709463,240630.23935709463,240630.23935709463
2020-05-11,77,234156.18621854024,234156.18621854024,234156.18621854024,234156.18621854024
2020-05-12,78,227681.934188392,227681.93349184346,227681.93388495315,227681.93451947893
2020-05-13,79,222242.0456776227,227511.6525849349,228580.41491640528,229654.17802599206
2020-05-14,80,216931.68225586924,227339.57542350632,229480.08090901276,231640.6563791655
2020-05-15,81,211747.77996417956,227165.70782305778,230380.90897457112,233641.4194069197
2020-05-16,82,206687.3467888972,226990.05590507056,231282.87614094027,235656.5160460058
2020-05-17,83,201747.4614805801,226812.62584177757,232185.95919995732,237685.99432136814
2020-05-18,84,196925.27161882486,226633.42385563787,233090.13470733902,239729.90131117863
2020-05-19,85,192217.99170871073,226452.45621871683,233995.37898258842,241788.28306968842
2020-05-20,86,187622.90017518436,226269.72925177135,234901.66810952078,243861.1847052272
2020-05-21,87,183137.3389412824,226085.2493244317,235808.97793587067,245948.65034802668
2020-05-22,88,178758.71151855032,225899.0228545226,236717.28407290165,248050.7231087786
2020-05-23,89,174484.48117866265,225711.05630765518,237626.56189554994,250167.44505174903
2020-05-24,90,170312.17277087973,225521.35619715095,238536.78654315902,252298.857159744
2020-05-25,91,166239.37002462675,225329.92908308064,239447.93292131135,254444.99913989025
2020-05-26,92,162263.71308460968,225136.78157193176,240359.97569885498,256605.90956488752
2020-05-27,93,158382.8968257082,224941.92031618304,241272.88930893675,258781.62586158502
2020-05-28,94,154594.66979022138,224745.3520138458,242186.64794927379,260972.18423585323
2020-05-29,95,150896.8331775904,224547.083408013,243101.22558495137,263177.61964218697
2020-05-30,96,147287.24052854022,224347.12128640307,244016.59594643113,265397.96575498953
2020-05-31,97,143763.79607947884,224145.47248088935,244932.73252922168,267633.25501805084
2020-06-01,98,140324.45295930788,223942.14386690184,245849.6085946902,269883.5185506653
2020-06-02,99,136967.21269107968,223737.14236310395,246767.19717159795,272148.78608880175
2020-06-03,100,133690.12390094053,223530.4749309194,247685.4710578005,274429.0859852708
2020-06-04,101,130491.28092917285,223322.14857403387,248604.40281730358,276724.4451811109
2020-06-05,102,127368.82325612051,223112.17033783853,249523.96478186606,279034.88917680545
2020-06-06,103,124320.93430322855,222900.54730900182,250444.12905184817,281360.4419670091
2020-06-07,104,121345.84008354919,222687.28661506684,251364.86749865251,283701.12603097333
2020-06-08,105,118441.80860619622,222472.39542389623,252286.15176389983,286056.9623305753
2020-06-09,106,115607.14897653421,222255.8809424564,253207.95325841758,288427.9702625208
2020-06-10,107,112840.20989630662,222037.75041739896,254130.24316384306,290814.16762881074
2020-06-11,108,110139.37938773017,221818.01113455702,255052.99244150854,293215.5706072077
2020-06-12,109,107503.08364736817,221596.67041819764,255976.17182934968,295632.1936680466
2020-06-13,110,104929.7857525869,221373.7356305434,256899.75183063283,298064.0495503121
2020-06-14,111,102417.98494632858,221149.21417129223,257823.70272229545,300511.1493023829
2020-06-15,112,99966.21588551604,220923.113477135,258747.9945555873,302973.5022121873
2020-06-16,113,97573.04847039853,220695.4410212715,259672.59715673834,305451.1157760268
2020-06-17,114,95237.08634512259,220466.2043129244,260597.48012766257,307943.9956674168
2020-06-18,115,92956.9663544772,220235.41089685142,261522.61284669724,310452.14566262043
2020-06-19,116,90731.35794164416,220003.06835285536,262447.96446937777,312975.5676225847
