date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-02-24,0,5.0,6.846559787954394,3.1534402120456066
2020-02-25,1,6.290423569276775,8.613552211722183,3.967294926831367
2020-02-26,2,7.913882242852986,10.836573586104716,4.991190899601256
2020-02-27,3,9.956324549218897,13.63331425890105,6.279334839536744
2020-02-28,4,12.525878587886107,17.151835329723998,7.899921846048218
2020-02-29,5,15.758576079571952,21.578406660363466,9.93874549878044
2020-03-01,6,19.825551248611895,27.147364390555044,12.503738106668747
2020-03-02,7,24.942097297494662,34.15351207685458,15.730682518134744
2020-03-03,8,31.379058555043795,42.96772009736583,19.790397012721762
2020-03-04,9,39.47715990634408,54.05654711148416,24.897772701203998
2020-03-05,10,49.6650289198129,68.00691797399661,31.323139865629194
2020-03-06,11,62.165457642932886,85.12390449957728,39.20701078628849
2020-03-07,12,77.0433274240236,105.4963494943048,48.59030535374242
2020-03-08,13,94.56986283086114,129.49564400202735,59.64408165969494
2020-03-09,14,115.01165033526702,157.48682806634213,72.53647260419193
2020-03-10,15,138.62357063779208,189.81891287827253,87.42822839731164
2020-03-11,16,165.64135556496765,226.81468884667265,104.46802228326267
2020-03-12,17,196.27402080836458,268.76036365733455,123.78767795939461
2020-03-13,18,230.69643274985796,315.8953839379405,145.49748156177543
2020-03-14,19,269.0422809662937,368.4028124246708,169.68174950791658
2020-03-15,20,311.39771705438915,426.40061752907616,196.39481657970217
2020-03-16,21,357.79591307366127,489.934222148911,225.6576039984116
2020-03-17,22,408.21272992420097,558.9705723260244,257.45488752237765
2020-03-18,23,462.56368518284364,633.3939852681706,291.73338509751676
2020-03-19,24,520.702338774008,713.0039388287859,328.4007387192302
2020-03-20,25,582.4201631813825,797.5148937862979,367.3254325764671
2020-03-21,26,647.447918294632,886.5581764381619,408.3376601511022
2020-03-22,27,715.458493993607,979.685870985408,451.2311170018061
2020-03-23,28,786.0711297357303,1076.3765974641065,495.7656620073542
2020-03-24,29,858.85688423663,1176.0430014444626,541.6707670287975
2020-03-25,30,933.3451822374897,1278.0407185976323,588.649645877347
2020-03-26,31,1009.0312411317138,1381.6785440644212,636.3839381990067
2020-03-27,32,1085.384158696834,1486.2295070832909,684.5388103103774
2020-03-28,33,1161.8554320765804,1590.9425361343785,732.7683280187823
2020-03-29,34,1237.887677099178,1695.054398406301,780.7209557920552
2020-03-30,35,1312.9233219647874,1797.8016041663227,828.0450397632524
2020-03-31,36,1386.4130662382258,1898.4319897602377,874.3941427162141
2020-04-01,37,1457.8239097056726,1996.215711621863,919.4321077894823
2020-04-02,38,1526.6465906131348,2090.4554315419123,962.8377496843573
2020-04-03,39,1592.402293092999,2180.4955012273786,1004.3090849586193
2020-04-04,40,1654.6485094912339,2265.7299896562713,1043.5670293261967
2020-04-05,41,1712.983986130603,2345.609455370323,1080.3585168908835
2020-04-06,42,1767.052709377493,2419.6464046439614,1114.4590141110252
2020-04-07,43,1816.5469026302005,2487.4193952962073,1145.674409964194
2020-04-08,44,1861.2090463965783,2548.5758028071514,1173.8422899860054
2020-04-09,45,1900.8329571035554,2602.8332975447283,1198.8326166623826
2020-04-10,46,1935.2639698935675,2649.9800950700564,1220.5478447170788
2020-04-11,47,1964.3982886966883,2689.8740661834345,1238.9225112099423
2020-04-12,48,1988.1816240671455,2722.440871697596,1253.9223764366957
2020-04-13,49,2006.6071142807023,2747.6711157714926,1265.5431127899121
2020-04-14,50,2019.7127418618284,2765.6168083300613,1273.8086753935956
2020-04-15,51,2027.5782516622091,2776.3871449522712,1278.7693583721475
2020-04-16,52,2030.3217148304057,2780.1438018736926,1280.499627787119
2020-04-17,53,2028.0958231228785,2777.0958617422734,1279.0957845034839
2020-04-18,54,2021.0839926514964,2767.4944784332097,1274.6735068697833
2020-04-19,55,2009.4963765446885,2751.627417138185,1267.3653359511923
2020-04-20,56,1993.5658508876772,2729.8135578653314,1257.3181439100235
2020-04-21,57,1973.5440446426746,2702.3974591614815,1244.690630123868
2020-04-22,58,1949.6974782869484,2669.744070703101,1229.650885870796
2020-04-23,59,1922.3038525995007,2632.2336514875105,1212.3740537114913
2020-04-24,60,1891.6485351190272,2590.2569586977534,1193.0401115403013
2020-04-25,61,1858.0212782332303,2544.2107537430516,1171.8318027234095
2020-04-26,62,1821.713182705451,2494.4936443795114,1148.9327210313909
2020-04-27,63,1783.0139357882836,2441.502302826072,1124.5255687504953
2020-04-28,64,1742.2093341979785,2385.628073943735,1098.7905944522217
2020-04-29,65,1699.5790810599071,2327.253958566648,1071.904203553166
2020-04-30,66,1655.3948798073286,2266.7520034548907,1044.0377561597668
2020-05-01,67,1609.9187904870087,2204.4810505641058,1015.3565304099119
2020-05-02,68,1563.4018706239046,2140.7848759652607,986.0188652825489
2020-05-03,69,1516.0830562152307,2075.99065757644,956.1754548540217
2020-05-04,70,1468.188296859342,2010.4077908844838,925.9688028342003
2020-05-05,71,1419.9299036278824,1944.3269959785234,895.5328112772414
2020-05-06,72,1371.5061113074664,1878.0197181222804,864.9925044926525
2020-05-07,73,1323.1008217504004,1811.7377763211412,834.4638671796598
2020-05-08,74,1274.8835186457309,1745.7132466171333,804.0537906743285
2020-05-09,75,1227.0093302298947,1680.15854795937,773.8601125004194
2020-05-10,76,1179.6192214807588,1615.2667053776463,743.9717375838716
2020-05-11,77,1132.8403013300815,1551.2117706521349,714.4688320080282
2020-05-12,78,1086.786221503472,1488.1493684497136,685.4230745572305
2020-05-13,79,1041.5576591591491,1426.2173572069878,656.8979611113106
2020-05-14,80,997.2428587331924,1365.536571085472,628.949146380913
2020-05-15,81,953.9182292963918,1306.211637939467,601.6248206533168
2020-05-16,82,911.6489747326079,1248.3318422268248,574.966107238391
2020-05-17,83,870.4897548094074,1191.9720302208736,549.0074793979412
2020-05-18,84,830.4853587383569,1137.1935323245827,523.7771851521312
2020-05-19,85,791.6713884960081,1084.045098750158,499.29767824185836
2020-05-20,86,754.0749387437179,1032.5638305413822,475.58604694605356
2020-05-21,87,717.7152735945003,982.7761062785584,452.65444091044236
2020-05-22,88,682.6044867392616,934.6984859972553,430.51048748126794
2020-05-23,89,648.7481432418842,888.3385900059923,409.1576964777762
2020-05-24,90,616.1459019751226,843.6959511951528,388.59585275509244
2020-05-25,91,584.7921113120336,800.7628307243839,368.8213918996835
2020-05-26,92,554.6763767222102,759.5249952389054,349.82775820551507
2020-05-27,93,525.7841026548999,719.9624588765446,331.6057464332553
2020-05-28,94,498.0969969729827,682.050173995213,314.1438199507525
2020-05-29,95,471.5935530790966,645.7586913539757,297.4284148042175
2020-05-30,96,446.2494919827748,611.0547654408686,281.44421852468116
2020-05-31,97,422.03817893542043,577.9019249761501,266.17443289469077
2020-06-01,98,398.9310066871072,546.2609977104227,251.60101566379174
2020-06-02,99,376.89774690203177,516.0905916220127,237.7049021820509
2020-06-03,100,355.90687683995,487.34754224576767,224.4662114341323
2020-06-04,101,335.9258704138209,459.987311221769,211.86442960587289
2020-06-05,102,316.92146979659253,433.9643582097507,199.87858138343444
2020-06-06,103,298.8599245586221,409.2324683428291,188.48738077441504
2020-06-07,104,281.70721032593474,385.74505163887113,177.6693690129984
2020-06-08,105,265.42922268295666,363.4554085138247,167.4030368520887
2020-06-09,106,249.99194836009997,342.31696419092634,157.6669325292736
2020-06-10,107,235.36161893015066,322.28347915900304,148.4397587012983
2020-06-11,108,221.50484172100084,303.3092284328414,139.7004550091603
2020-06-12,109,208.38871706417822,285.3491621030016,131.42827202535483
2020-06-13,110,195.98093633507835,268.3590395834795,123.60283308667721
2020-06-14,111,184.24986698275634,252.2955460440171,116.2041879214956
2020-06-15,112,173.16462303852208,237.11638895836526,109.21285711867893
2020-06-16,113,162.69512354163678,222.78037810728853,102.60986897598505
2020-06-17,114,152.81214145432997,209.24749255848286,96.37679035017712
2020-06-18,115,143.4873373324341,196.4789267721781,90.49574789269009
2020-06-19,116,134.69328978990842,184.43713231657503,84.94944726324184
2020-06-20,117,126.40351600131166,173.08584594212604,79.7211860604973
2020-06-21,118,118.59248019902233,162.3901012168808,74.79485918116389
2020-06-22,119,111.23560456716272,152.31624344366648,70.15496569065898
2020-06-23,120,104.30926766208647,142.83192749724256,65.78660782693038
2020-06-24,121,97.79079741507124,133.90610824280424,61.67548658733824
2020-06-25,122,91.65846443598357,125.50903136661061,57.80789750535655
2020-06-26,123,85.89147027605743,117.61221730406697,54.1707232480479
2020-06-27,124,80.46993141734005,110.18843931628166,50.75142351839845
2020-06-28,125,75.37485788400626,103.2116942022829,47.538021565729636
2020-06-29,126,70.58813442633209,96.6571765340089,44.51909231865529
2020-06-30,127,66.09249766061497,90.50124735372725,41.68374796750268
2020-07-01,128,61.871512224945285,84.72140152384782,39.02162292604276
2020-07-02,129,57.909544692386596,79.29623200592837,36.522857378844826
2020-07-03,130,54.19173778667825,74.20539455392799,34.17808101942852
2020-07-04,131,50.703983490051236,69.42957089041765,31.97839608968482
2020-07-05,132,47.43289545367468,64.95043092787478,29.915359979474598
2020-07-06,133,44.36578207103104,60.750595897733824,27.98096824432826
2020-07-07,134,41.49061879112106,56.813600438526876,26.167637143715247
2020-07-08,135,38.796021234241046,53.1238557829959,24.468186685486188
2020-07-09,136,36.2712173939744,49.666611693947424,22.87582309400139
2020-07-10,137,33.906021689399225,46.42792093363005,21.38412244516841
2020-07-11,138,31.690808373035313,43.394602850918396,19.987013895152234
2020-07-12,139,29.616486250754182,40.55420876498356,18.678763736524814
2020-07-13,140,27.674473389021852,37.894987331618196,17.453959446425515
2020-07-14,141,25.856672998944347,35.4058515209717,16.307494476916997
2020-07-15,142,24.155449720156252,33.0763461427952,15.234553297517305
2020-07-16,143,22.563606747093445,30.896616525173286,14.230596969013607
2020-07-17,144,21.07436382661762,28.857378386408175,13.291349266827067
2020-07-18,145,19.681335857928815,26.94988853162406,12.41278318423357
2020-07-19,146,18.378512523739555,25.165916961490293,11.59110808598882
2020-07-20,147,17.16023839001894,23.497719622562983,10.822757157474896
2020-07-21,148,16.02119419220091,21.938012782266245,10.104375602135576
2020-07-22,149,14.956378570889095,20.479948019374415,9.432809122403775
2020-07-23,150,13.961090865037843,19.117088662509104,8.805093067566583
2020-07-24,151,13.030914457068619,17.843386984407914,8.218441929729325
2020-07-25,152,12.161701041278766,16.653162660468457,7.670239422089078
2020-07-26,153,11.349555516162635,15.541082081623014,7.158028950702257
2020-07-27,154,10.590821655612668,14.502138733742854,6.679504577482484
2020-07-28,155,9.882068467829566,13.5316345187308,6.232502416928334
2020-07-29,156,9.220077213555099,12.625161978432187,5.814992448678011
2020-07-30,157,8.601829107418306,11.778587453941162,5.4250707608954505
2020-07-31,158,8.024493609925791,10.988035053682983,5.060952166168601
