Data,R0
2020-02-28,4.05
2020-02-29,4.08
2020-03-01,2.54
2020-03-02,1.54
2020-03-03,1.28
2020-03-04,1.35
2020-03-05,1.4
2020-03-06,1.25
2020-03-07,1.15
2020-03-08,1.33
2020-03-09,1.28
2020-03-10,1.52
2020-03-11,2.52
2020-03-12,3.28
2020-03-13,3.02
2020-03-14,2.74
2020-03-15,1.68
2020-03-16,1.87
2020-03-17,2.01
2020-03-18,2.02
2020-03-19,2.33
2020-03-20,2.19
2020-03-21,2.4
2020-03-22,1.73
2020-03-23,1.76
2020-03-24,1.62
2020-03-25,1.78
2020-03-26,1.93
2020-03-27,1.8
2020-03-28,1.71
2020-03-29,1.66
2020-03-30,1.46
2020-03-31,1.19
2020-04-01,1.05
2020-04-02,1.06
2020-04-03,1.15
2020-04-04,1.22
2020-04-05,1.14
2020-04-06,1.1
2020-04-07,1.13
2020-04-08,1.06
2020-04-09,1.07
2020-04-10,1.12
2020-04-11,1.06
2020-04-12,1.1
2020-04-13,0.97
