time,y_inf
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,5
2020-02-01,8
2020-02-02,10
2020-02-03,12
2020-02-04,12
2020-02-05,12
2020-02-06,12
2020-02-07,13
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,16
2020-02-12,16
2020-02-13,15
2020-02-14,15
2020-02-15,15
2020-02-16,15
2020-02-17,15
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,3
2020-02-26,12
2020-02-27,30
2020-02-28,32
2020-02-29,63
2020-03-01,114
2020-03-02,143
2020-03-03,180
2020-03-04,246
2020-03-05,466
2020-03-06,653
2020-03-07,781
2020-03-08,1022
2020-03-09,1156
2020-03-10,1437
2020-03-11,1880
2020-03-12,2050
2020-03-13,3622
2020-03-14,4530
2020-03-15,5738
2020-03-16,7188
2020-03-17,9166
2020-03-18,12194
2020-03-19,15163
2020-03-20,19601
2020-03-21,21896
2020-03-22,24513
2020-03-23,28667
2020-03-24,29586
2020-03-25,33570
2020-03-26,37998
2020-03-27,43871
2020-03-28,48781
2020-03-29,52351
2020-03-30,52740
2020-03-31,54933
2020-04-01,58252
2020-04-02,61247
2020-04-03,65309
2020-04-04,68248
2020-04-05,69839
2020-04-06,72864
2020-04-07,69566
2020-04-08,64647
2020-04-09,63167
2020-04-10,65491
2020-04-11,64772
2020-04-12,64532
2020-04-13,62578
2020-04-14,59865
2020-04-15,58349
2020-04-16,56646
2020-04-17,53931
2020-04-18,53483
2020-04-19,52598
2020-04-20,50703
2020-04-21,48058
2020-04-22,45969
2020-04-23,44254
