,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Oct 13 2019,,1498.25,,1493.25,,1501.35,,1487.20,,-,,0.64%,
,Oct 06 2019,,1488.70,,1518.60,,1522.30,,1478.00,,1.82M,,-1.60%,
,Sep 29 2019,,1512.90,,1501.70,,1525.80,,1465.00,,2.04M,,0.43%,
,Sep 22 2019,,1506.40,,1521.50,,1543.30,,1493.30,,2.10M,,-0.57%,
,Sep 15 2019,,1515.10,,1513.10,,1524.50,,1490.70,,1.63M,,1.04%,
,Sep 08 2019,,1499.50,,1516.40,,1532.20,,1492.10,,1.88M,,-1.06%,
,Sep 01 2019,,1515.50,,1535.20,,1566.20,,1510.70,,2.12M,,-0.91%,
,Aug 25 2019,,1529.40,,1545.40,,1565.00,,1525.60,,1.90M,,-0.53%,
,Aug 18 2019,,1537.60,,1523.00,,1540.30,,1502.10,,1.54M,,0.92%,
,Aug 11 2019,,1523.60,,1509.20,,1546.10,,1488.90,,2.21M,,1.00%,
,Aug 04 2019,,1508.50,,1451.20,,1522.70,,1448.80,,2.30M,,3.50%,
,Jul 28 2019,,1457.50,,1431.90,,1461.90,,1412.10,,1.93M,,1.77%,
,Jul 21 2019,,1432.20,,1441.70,,1447.00,,1423.90,,396.30K,,-0.50%,
,Jul 14 2019,,1439.40,,1429.00,,1467.00,,1413.70,,148.13K,,1.02%,
,Jul 07 2019,,1424.80,,1412.40,,1441.30,,1399.80,,206.48K,,0.90%,
,Jun 30 2019,,1412.10,,1418.00,,1452.60,,1396.40,,92.77K,,-0.91%,
,Jun 23 2019,,1425.10,,1414.70,,1453.70,,1412.70,,46.35K,,0.98%,
,Jun 16 2019,,1411.20,,1357.10,,1425.50,,1348.20,,43.19K,,4.08%,
,Jun 09 2019,,1355.90,,1351.40,,1373.60,,1335.10,,39.72K,,-0.11%,
,Jun 02 2019,,1357.40,,1323.10,,1363.80,,1322.70,,25.99K,,2.63%,
,May 26 2019,,1322.60,,1301.80,,1323.00,,1290.80,,25.75K,,1.66%,
,May 19 2019,,1301.00,,1294.70,,1304.20,,1286.30,,31.94K,,0.62%,
,May 12 2019,,1293.00,,1306.00,,1321.70,,1292.00,,26.17K,,-0.94%,
,May 05 2019,,1305.30,,1302.00,,1310.20,,1296.30,,18.04K,,0.47%,
,Apr 28 2019,,1299.20,,1306.40,,1307.00,,1285.10,,10.82K,,-0.58%,
,Apr 21 2019,,1306.80,,1295.80,,1308.70,,1286.00,,7.09K,,0.98%,
,Apr 14 2019,,1294.10,,1312.30,,1312.30,,1291.00,,9.33K,,-1.47%,
,Apr 07 2019,,1313.40,,1313.70,,1332.20,,1311.00,,10.15K,,-0.02%,
,Mar 31 2019,,1313.70,,1314.40,,1319.30,,1302.80,,7.56K,,-0.21%,
,Mar 24 2019,,1316.50,,1335.30,,1348.40,,1310.00,,9.42K,,-1.50%,
,Mar 17 2019,,1336.50,,1323.10,,1344.20,,1323.00,,10.69K,,0.71%,
,Mar 10 2019,,1327.10,,1323.50,,1336.00,,1315.40,,7.01K,,0.21%,
,Mar 03 2019,,1324.30,,1320.60,,1325.70,,1306.70,,8.87K,,0.04%,
,Feb 24 2019,,1323.80,,1357.80,,1359.00,,1316.30,,4.38K,,-2.49%,
,Feb 17 2019,,1357.60,,1349.50,,1374.30,,1349.00,,6.13K,,0.80%,
,Feb 10 2019,,1346.80,,1342.50,,1350.00,,1329.90,,5.86K,,0.23%,
,Feb 03 2019,,1343.70,,1346.40,,1346.40,,1332.00,,4.55K,,-0.25%,
,Jan 27 2019,,1347.10,,1331.90,,1354.60,,1329.30,,15.53K,,1.35%,
,Jan 20 2019,,1329.10,,1311.10,,1333.20,,1308.00,,3.05K,,1.16%,
,Jan 13 2019,,1313.80,,1323.10,,1327.10,,1312.00,,4.16K,,-0.57%,
,Jan 06 2019,,1321.30,,1317.60,,1328.00,,1312.40,,3.57K,,0.30%,
,Dec 30 2018,,1317.40,,1313.00,,1330.80,,1309.60,,3.95K,,0.28%,
,Dec 23 2018,,1313.70,,1292.50,,1313.90,,1292.50,,1.24K,,1.95%,
,Dec 16 2018,,1288.60,,1271.40,,1300.00,,1270.20,,3.42K,,1.29%,
,Dec 09 2018,,1272.20,,1283.80,,1285.00,,1267.50,,1.90K,,-0.89%,
,Dec 02 2018,,1283.60,,1260.60,,1286.60,,1260.30,,1.77K,,2.16%,
,Nov 25 2018,,1256.50,,1260.10,,1264.10,,1247.70,,2.83K,,-0.28%,
,Nov 18 2018,,1260.00,,1257.60,,1265.50,,1257.00,,3.74K,,0.08%,
,Nov 11 2018,,1259.00,,1243.40,,1260.60,,1232.50,,2.67K,,1.12%,
,Nov 04 2018,,1245.00,,1269.90,,1273.50,,1243.90,,1.92K,,-1.96%,
,Oct 28 2018,,1269.90,,1272.20,,1273.90,,1250.00,,2.84K,,-0.19%,
,Oct 21 2018,,1272.30,,1266.90,,1281.30,,1259.70,,1.54K,,0.55%,
,Oct 14 2018,,1265.30,,1258.90,,1272.90,,1258.90,,0.68K,,0.57%,
,Oct 07 2018,,1258.10,,1230.00,,1265.70,,1223.60,,1.27K,,1.28%,
,Sep 30 2018,,1242.20,,1225.20,,1247.30,,1223.80,,1.66K,,0.89%,
,Sep 23 2018,,1231.30,,1237.70,,1243.50,,1220.70,,2.21K,,-0.45%,
,Sep 16 2018,,1236.90,,1236.70,,1250.30,,1231.90,,0.58K,,0.02%,
,Sep 09 2018,,1236.60,,1233.70,,1252.50,,1230.00,,1.17K,,0.09%,
,Sep 02 2018,,1235.50,,1241.00,,1246.50,,1230.30,,1.23K,,-0.45%,
,Aug 26 2018,,1241.10,,1245.20,,1252.90,,1237.40,,0.57K,,-0.57%,
,Aug 19 2018,,1248.20,,1227.90,,1249.20,,1227.30,,0.30K,,2.37%,
,Aug 12 2018,,1219.30,,1251.50,,1251.50,,1208.60,,0.61K,,-2.85%,
