,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Oct 06 2019,,2179.33,,2154.46,,2190.08,,2121.99,,-,,1.18%,
,Sep 29 2019,,2153.83,,2175.69,,2185.82,,2102.44,,-,,-1.00%,
,Sep 22 2019,,2175.54,,2197.88,,2202.85,,2167.89,,-,,-1.00%,
,Sep 15 2019,,2197.55,,2206.79,,2211.52,,2185.64,,-,,-0.37%,
,Sep 08 2019,,2205.81,,2177.68,,2211.21,,2166.64,,-,,1.24%,
,Sep 01 2019,,2178.90,,2137.10,,2181.29,,2119.08,,-,,1.89%,
,Aug 25 2019,,2138.52,,2095.54,,2147.21,,2088.74,,-,,2.10%,
,Aug 18 2019,,2094.63,,2109.77,,2141.50,,2091.58,,-,,-0.66%,
,Aug 11 2019,,2108.50,,2135.35,,2143.94,,2073.22,,-,,-1.26%,
,Aug 04 2019,,2135.34,,2149.01,,2149.69,,2083.92,,-,,-0.68%,
,Jul 28 2019,,2149.99,,2215.42,,2217.56,,2140.58,,-,,-2.97%,
,Jul 21 2019,,2215.71,,2193.96,,2220.86,,2192.22,,-,,0.96%,
,Jul 14 2019,,2194.61,,2213.69,,2216.32,,2188.61,,-,,-0.82%,
,Jul 07 2019,,2212.65,,2205.54,,2213.76,,2184.60,,-,,0.32%,
,Jun 30 2019,,2205.57,,2177.61,,2215.94,,2177.59,,-,,1.25%,
,Jun 23 2019,,2178.35,,2181.23,,2183.25,,2157.71,,-,,0.01%,
,Jun 16 2019,,2178.16,,2129.53,,2186.67,,2128.56,,-,,2.22%,
,Jun 09 2019,,2130.95,,2126.41,,2153.16,,2126.09,,-,,0.19%,
,Jun 02 2019,,2126.88,,2046.47,,2133.33,,2039.89,,-,,3.94%,
,May 26 2019,,2046.25,,2095.80,,2104.40,,2042.57,,-,,-2.33%,
,May 19 2019,,2095.03,,2116.88,,2119.82,,2080.87,,-,,-1.01%,
,May 12 2019,,2116.50,,2124.77,,2133.41,,2080.99,,-,,-0.46%,
,May 05 2019,,2126.32,,2178.27,,2178.35,,2098.96,,-,,-2.36%,
,Apr 28 2019,,2177.77,,2173.25,,2185.44,,2153.09,,-,,0.18%,
,Apr 21 2019,,2173.82,,2159.70,,2175.59,,2156.11,,-,,0.62%,
,Apr 14 2019,,2160.36,,2160.26,,2170.36,,2153.13,,-,,0.04%,
,Apr 07 2019,,2159.39,,2150.37,,2160.71,,2140.58,,-,,0.44%,
,Mar 31 2019,,2149.85,,2107.35,,2150.46,,2107.27,,-,,2.00%,
,Mar 24 2019,,2107.74,,2094.20,,2109.19,,2079.79,,-,,0.62%,
,Mar 17 2019,,2094.81,,2109.12,,2131.84,,2094.33,,-,,-0.66%,
,Mar 10 2019,,2108.78,,2050.99,,2112.62,,2050.25,,-,,2.81%,
,Mar 03 2019,,2051.12,,2095.91,,2103.62,,2040.69,,-,,-2.16%,
,Feb 24 2019,,2096.35,,2087.36,,2100.65,,2082.44,,-,,0.45%,
,Feb 17 2019,,2086.97,,2068.27,,2088.84,,2067.68,,-,,0.99%,
,Feb 10 2019,,2066.58,,2020.25,,2068.56,,2018.87,,-,,2.28%,
,Feb 03 2019,,2020.53,,2028.93,,2052.52,,2008.01,,-,,-0.44%,
,Jan 27 2019,,2029.55,,2003.00,,2033.32,,1979.90,,-,,1.38%,
,Jan 20 2019,,2001.86,,2000.18,,2005.27,,1968.78,,-,,0.05%,
,Jan 13 2019,,2000.76,,1956.95,,2002.26,,1941.31,,-,,2.23%,
,Jan 06 2019,,1957.17,,1904.10,,1961.39,,1904.03,,-,,2.78%,
,Dec 30 2018,,1904.18,,1871.36,,1906.42,,1847.89,,-,,1.78%,
,Dec 23 2018,,1870.80,,1833.04,,1887.38,,1794.00,,-,,1.95%,
,Dec 16 2018,,1834.97,,1942.95,,1944.34,,1828.73,,-,,-5.54%,
,Dec 09 2018,,1942.55,,1964.67,,1992.22,,1927.59,,-,,-1.15%,
,Dec 02 2018,,1965.24,,2042.05,,2072.60,,1954.86,,-,,-3.73%,
,Nov 25 2018,,2041.36,,1974.81,,2042.46,,1973.87,,-,,3.36%,
,Nov 18 2018,,1975.09,,2032.49,,2036.84,,1968.98,,-,,-2.79%,
,Nov 11 2018,,2031.76,,2060.60,,2061.92,,1995.95,,-,,-1.52%,
,Nov 04 2018,,2063.16,,2037.26,,2089.51,,2031.46,,-,,1.30%,
,Oct 28 2018,,2036.70,,1982.43,,2058.14,,1958.30,,-,,2.77%,
,Oct 21 2018,,1981.89,,2062.78,,2067.34,,1962.41,,-,,-3.90%,
,Oct 14 2018,,2062.33,,2062.57,,2096.52,,2052.20,,-,,-0.05%,
,Oct 07 2018,,2063.43,,2151.98,,2152.00,,2040.05,,-,,-4.09%,
,Sep 30 2018,,2151.42,,2183.59,,2195.88,,2143.72,,-,,-1.49%,
,Sep 23 2018,,2184.01,,2199.37,,2202.43,,2180.01,,-,,-0.73%,
,Sep 16 2018,,2200.01,,2165.35,,2203.96,,2159.47,,-,,1.54%,
,Sep 09 2018,,2166.59,,2136.32,,2169.23,,2134.85,,-,,1.36%,
,Sep 02 2018,,2137.60,,2172.37,,2173.42,,2131.62,,-,,-1.74%,
,Aug 26 2018,,2175.50,,2162.93,,2193.24,,2162.63,,-,,0.64%,
,Aug 19 2018,,2161.61,,2138.64,,2162.75,,2137.91,,-,,1.10%,
,Aug 12 2018,,2138.11,,2136.96,,2141.71,,2106.78,,-,,-0.08%,
,Aug 05 2018,,2139.84,,2154.24,,2170.90,,2135.04,,-,,-0.72%,
,Jul 29 2018,,2155.39,,2155.53,,2157.26,,2132.76,,-,,-0.03%,
,Jul 22 2018,,2156.11,,2140.94,,2168.69,,2133.56,,-,,0.79%,
,Jul 15 2018,,2139.17,,2135.29,,2145.04,,2127.30,,-,,0.21%,
,Jul 08 2018,,2134.60,,2114.35,,2137.33,,2111.78,,-,,0.99%,
,Jul 01 2018,,2113.74,,2089.19,,2115.30,,2069.16,,-,,1.17%,
,Jun 24 2018,,2089.30,,2116.18,,2116.30,,2066.44,,-,,-1.21%,
,Jun 17 2018,,2114.90,,2132.35,,2132.35,,2100.83,,-,,-0.90%,
,Jun 10 2018,,2134.15,,2138.03,,2149.03,,2126.13,,-,,-0.17%,
,Jun 03 2018,,2137.74,,2111.09,,2143.06,,2111.09,,-,,1.35%,
,May 27 2018,,2109.19,,2110.78,,2114.11,,2077.35,,-,,-0.08%,
,May 20 2018,,2110.80,,2120.28,,2138.86,,2106.95,,-,,-0.47%,
,May 13 2018,,2120.80,,2131.91,,2141.59,,2113.58,,-,,-0.52%,
,May 06 2018,,2131.96,,2090.56,,2134.82,,2088.11,,-,,2.03%,
,Apr 29 2018,,2089.44,,2096.37,,2102.41,,2054.08,,-,,-0.32%,
,Apr 22 2018,,2096.05,,2098.88,,2105.10,,2063.33,,-,,-0.18%,
,Apr 15 2018,,2099.73,,2089.31,,2128.01,,2089.16,,-,,0.51%,
,Apr 08 2018,,2088.98,,2053.12,,2101.73,,2052.83,,-,,1.76%,
,Apr 01 2018,,2052.78,,2067.54,,2085.19,,2026.15,,-,,-0.68%,
,Mar 25 2018,,2066.85,,2036.63,,2085.75,,2034.08,,-,,1.49%,
,Mar 18 2018,,2036.55,,2134.66,,2134.92,,2035.83,,-,,-4.57%,
,Mar 11 2018,,2134.05,,2149.35,,2164.33,,2130.26,,-,,-0.71%,
,Mar 04 2018,,2149.32,,2091.09,,2149.33,,2080.99,,-,,2.85%,
,Feb 25 2018,,2089.84,,2140.18,,2165.52,,2069.22,,-,,-2.39%,
,Feb 18 2018,,2140.91,,2136.28,,2141.48,,2109.05,,-,,0.14%,
,Feb 11 2018,,2137.91,,2051.07,,2148.02,,2050.57,,-,,4.24%,
,Feb 04 2018,,2050.90,,2170.44,,2171.20,,2009.60,,-,,-5.56%,
,Jan 28 2018,,2171.54,,2248.30,,2249.69,,2171.44,,-,,-3.44%,
,Jan 21 2018,,2248.93,,2208.60,,2248.93,,2206.16,,-,,1.88%,
,Jan 14 2018,,2207.40,,2188.85,,2207.40,,2185.55,,-,,1.01%,
,Jan 07 2018,,2185.31,,2156.99,,2188.59,,2152.77,,-,,1.33%,
,Dec 31 2017,,2156.60,,2102.35,,2157.05,,2102.35,,-,,2.53%,
,Dec 24 2017,,2103.45,,2100.43,,2112.42,,2098.36,,-,,0.18%,
,Dec 17 2017,,2099.59,,2085.04,,2106.10,,2084.85,,-,,0.67%,
,Dec 10 2017,,2085.54,,2074.08,,2092.28,,2073.95,,-,,0.58%,
,Dec 03 2017,,2073.46,,2070.02,,2083.91,,2056.24,,-,,0.20%,
,Nov 26 2017,,2069.37,,2058.86,,2079.40,,2052.99,,-,,0.48%,
,Nov 19 2017,,2059.54,,2033.42,,2060.41,,2031.36,,-,,1.30%,
,Nov 12 2017,,2033.18,,2038.67,,2040.06,,2016.64,,-,,-0.35%,
,Nov 05 2017,,2040.25,,2045.70,,2054.25,,2035.58,,-,,-0.26%,
,Oct 29 2017,,2045.47,,2035.77,,2047.05,,2032.58,,-,,0.53%,
,Oct 22 2017,,2034.60,,2033.91,,2036.88,,2017.36,,-,,-0.05%,
,Oct 15 2017,,2035.58,,2027.01,,2035.58,,2024.76,,-,,0.37%,
,Oct 08 2017,,2028.01,,2015.05,,2031.11,,2012.41,,-,,0.69%,
,Oct 01 2017,,2014.02,,2000.19,,2016.32,,1997.50,,-,,0.67%,
,Sep 24 2017,,2000.55,,1992.10,,2000.59,,1980.61,,-,,0.30%,
,Sep 17 2017,,1994.58,,1986.60,,1999.38,,1986.12,,-,,0.35%,
,Sep 10 2017,,1987.72,,1965.18,,1990.41,,1965.05,,-,,1.18%,
,Sep 03 2017,,1964.52,,1965.76,,1969.36,,1948.21,,-,,-0.06%,
,Aug 27 2017,,1965.79,,1947.25,,1968.04,,1935.24,,-,,1.09%,
,Aug 20 2017,,1944.56,,1930.13,,1951.21,,1925.16,,-,,0.73%,
,Aug 13 2017,,1930.40,,1937.72,,1959.56,,1926.98,,-,,-0.38%,
,Aug 06 2017,,1937.73,,1969.81,,1974.82,,1934.11,,-,,-1.53%,
,Jul 30 2017,,1967.77,,1960.68,,1971.42,,1959.17,,-,,0.38%,
,Jul 23 2017,,1960.32,,1958.64,,1971.25,,1952.52,,-,,0.08%,
,Jul 16 2017,,1958.77,,1949.63,,1964.74,,1944.00,,-,,0.55%,
,Jul 09 2017,,1948.07,,1914.86,,1951.18,,1910.23,,-,,1.82%,
,Jul 02 2017,,1913.18,,1917.50,,1925.61,,1905.25,,-,,-0.17%,
,Jun 25 2017,,1916.43,,1925.08,,1938.69,,1914.00,,-,,-0.45%,
,Jun 18 2017,,1925.01,,1922.86,,1937.46,,1917.56,,-,,0.09%,
,Jun 11 2017,,1923.24,,1923.43,,1936.35,,1908.09,,-,,0.02%,
,Jun 04 2017,,1922.79,,1934.38,,1934.75,,1916.34,,-,,-0.64%,
,May 28 2017,,1935.21,,1912.12,,1936.26,,1907.08,,-,,1.20%,
,May 21 2017,,1912.21,,1896.17,,1916.21,,1894.77,,-,,0.92%,
,May 14 2017,,1894.77,,1892.03,,1908.10,,1873.03,,-,,0.10%,
,May 07 2017,,1892.97,,1897.71,,1901.26,,1884.57,,-,,-0.20%,
,Apr 30 2017,,1896.75,,1878.91,,1897.77,,1878.11,,-,,0.98%,
,Apr 23 2017,,1878.28,,1847.91,,1887.94,,1845.98,,-,,1.97%,
,Apr 16 2017,,1842.06,,1832.43,,1847.77,,1832.42,,-,,0.53%,
,Apr 09 2017,,1832.28,,1844.58,,1850.53,,1831.31,,-,,-0.71%,
,Apr 02 2017,,1845.46,,1853.55,,1860.33,,1839.67,,-,,-0.44%,
,Mar 26 2017,,1853.69,,1848.04,,1861.29,,1833.81,,-,,0.43%,
,Mar 19 2017,,1845.81,,1863.36,,1868.84,,1835.66,,-,,-0.93%,
,Mar 12 2017,,1863.08,,1846.41,,1867.66,,1838.28,,-,,0.93%,
,Mar 05 2017,,1845.88,,1851.44,,1852.11,,1831.83,,-,,-0.17%,
,Feb 26 2017,,1848.98,,1840.17,,1858.98,,1833.72,,-,,0.44%,
,Feb 19 2017,,1840.80,,1835.99,,1848.56,,1833.32,,-,,0.23%,
,Feb 12 2017,,1836.50,,1814.87,,1838.24,,1814.09,,-,,1.20%,
,Feb 05 2017,,1814.71,,1804.60,,1817.18,,1794.72,,-,,0.51%,
,Jan 29 2017,,1805.51,,1803.77,,1806.01,,1785.23,,-,,0.12%,
,Jan 22 2017,,1803.39,,1784.98,,1810.75,,1777.45,,-,,1.16%,
,Jan 15 2017,,1782.71,,1787.71,,1788.85,,1774.79,,-,,-0.31%,
,Jan 08 2017,,1788.23,,1780.03,,1790.08,,1774.62,,-,,0.29%,
,Jan 01 2017,,1783.10,,1749.61,,1783.55,,1747.94,,-,,1.82%,
,Dec 25 2016,,1751.22,,1758.83,,1763.10,,1747.52,,-,,-0.45%,
,Dec 18 2016,,1759.15,,1756.98,,1764.10,,1754.85,,-,,0.25%,
,Dec 11 2016,,1754.74,,1760.37,,1776.35,,1748.58,,-,,-0.31%,
,Dec 04 2016,,1760.12,,1706.82,,1760.67,,1704.72,,-,,2.99%,
,Nov 27 2016,,1708.94,,1720.90,,1725.28,,1704.82,,-,,-0.69%,
,Nov 20 2016,,1720.84,,1697.70,,1721.15,,1697.47,,-,,1.38%,
,Nov 13 2016,,1697.35,,1696.15,,1706.98,,1688.80,,-,,0.02%,
,Nov 06 2016,,1696.99,,1657.55,,1712.70,,1657.06,,-,,2.22%,
,Oct 30 2016,,1660.12,,1693.57,,1696.15,,1658.17,,-,,-1.82%,
,Oct 23 2016,,1690.96,,1701.38,,1710.22,,1690.46,,-,,-0.60%,
,Oct 16 2016,,1701.16,,1692.64,,1708.65,,1687.84,,-,,0.44%,
,Oct 09 2016,,1693.71,,1712.76,,1722.48,,1678.36,,-,,-1.09%,
,Oct 02 2016,,1712.40,,1724.79,,1728.44,,1705.94,,-,,-0.77%,
,Sep 25 2016,,1725.67,,1729.89,,1733.23,,1707.77,,-,,-0.23%,
,Sep 18 2016,,1729.70,,1695.63,,1743.39,,1695.51,,-,,1.97%,
,Sep 11 2016,,1696.31,,1706.53,,1719.11,,1688.81,,-,,-0.68%,
,Sep 04 2016,,1707.94,,1736.41,,1750.06,,1707.94,,-,,-1.54%,
,Aug 28 2016,,1734.60,,1720.49,,1737.41,,1715.59,,-,,0.49%,
,Aug 21 2016,,1726.08,,1730.93,,1742.50,,1715.67,,-,,-0.33%,
,Aug 14 2016,,1731.85,,1733.98,,1741.97,,1724.38,,-,,-0.24%,
,Aug 07 2016,,1736.10,,1718.04,,1738.21,,1717.88,,-,,1.13%,
,Jul 31 2016,,1716.65,,1719.86,,1723.95,,1696.79,,-,,-0.30%,
