,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Oct 13 2019,,499.46,,499.46,,499.46,,499.46,,-,,-0.04%,
,Oct 06 2019,,499.66,,502.13,,502.13,,499.66,,-,,-0.48%,
,Sep 29 2019,,502.06,,501.23,,502.06,,500.49,,-,,0.10%,
,Sep 22 2019,,501.56,,501.70,,502.00,,501.47,,-,,0.21%,
,Sep 15 2019,,500.50,,500.14,,500.50,,500.01,,-,,0.15%,
,Sep 08 2019,,499.75,,503.61,,503.61,,499.75,,-,,-0.74%,
,Sep 01 2019,,503.47,,505.87,,506.65,,503.47,,-,,-0.42%,
,Aug 25 2019,,505.60,,504.86,,505.80,,504.86,,-,,0.29%,
,Aug 18 2019,,504.12,,505.00,,505.66,,504.12,,-,,-0.36%,
,Aug 11 2019,,505.94,,504.15,,505.94,,504.15,,-,,0.42%,
,Aug 04 2019,,503.83,,502.12,,503.83,,502.12,,-,,0.44%,
,Jul 28 2019,,501.60,,499.79,,501.60,,499.76,,-,,0.46%,
,Jul 21 2019,,499.28,,499.24,,499.91,,499.23,,-,,0.07%,
,Jul 14 2019,,498.94,,497.18,,498.94,,497.18,,-,,0.50%,
,Jul 07 2019,,496.46,,498.96,,498.96,,496.46,,-,,-0.61%,
,Jun 30 2019,,499.50,,498.38,,499.50,,498.38,,-,,0.35%,
,Jun 23 2019,,497.76,,497.68,,497.88,,497.25,,-,,0.05%,
,Jun 16 2019,,497.51,,496.40,,497.77,,496.40,,-,,0.17%,
,Jun 09 2019,,496.69,,495.97,,496.69,,495.97,,-,,0.09%,
,Jun 02 2019,,496.25,,496.17,,496.65,,495.82,,-,,0.04%,
,May 26 2019,,496.03,,494.24,,496.03,,494.24,,-,,0.40%,
,May 19 2019,,494.05,,493.58,,494.05,,493.09,,-,,0.00%,
,May 12 2019,,494.04,,492.72,,494.04,,492.72,,-,,0.34%,
,May 05 2019,,492.37,,491.52,,492.83,,491.52,,-,,0.30%,
,Apr 28 2019,,490.89,,491.65,,491.65,,490.85,,-,,-0.23%,
,Apr 21 2019,,492.00,,490.54,,492.00,,490.54,,-,,0.29%,
,Apr 14 2019,,490.59,,490.25,,490.59,,489.78,,-,,-0.10%,
,Apr 07 2019,,491.10,,491.38,,492.11,,491.10,,-,,-0.04%,
,Mar 31 2019,,491.28,,492.17,,492.17,,491.28,,-,,-0.25%,
,Mar 24 2019,,492.53,,491.28,,492.67,,491.28,,-,,0.28%,
,Mar 17 2019,,491.14,,489.90,,491.14,,489.24,,-,,0.30%,
,Mar 10 2019,,489.65,,490.16,,490.16,,489.65,,-,,-0.17%,
,Mar 03 2019,,490.49,,488.00,,490.49,,488.00,,-,,0.52%,
,Feb 24 2019,,487.96,,489.63,,489.76,,487.96,,-,,-0.35%,
,Feb 17 2019,,489.66,,489.92,,490.29,,489.66,,-,,-0.06%,
,Feb 10 2019,,489.93,,490.26,,490.26,,489.68,,-,,-0.07%,
,Feb 03 2019,,490.28,,489.13,,490.28,,488.65,,-,,0.22%,
,Jan 27 2019,,489.18,,488.63,,489.18,,488.43,,-,,0.02%,
,Jan 20 2019,,489.06,,487.87,,489.06,,487.73,,-,,0.31%,
,Jan 13 2019,,487.57,,489.94,,490.08,,487.57,,-,,-0.39%,
,Jan 06 2019,,489.49,,488.07,,489.49,,487.02,,-,,0.21%,
,Dec 30 2018,,488.44,,488.81,,488.81,,488.44,,-,,0.16%,
,Dec 23 2018,,487.68,,487.41,,487.68,,487.41,,-,,0.11%,
,Dec 16 2018,,487.16,,486.95,,487.30,,486.83,,-,,0.04%,
,Dec 09 2018,,486.96,,487.35,,487.35,,486.35,,-,,-0.10%,
,Dec 02 2018,,487.46,,486.02,,487.58,,486.02,,-,,0.24%,
,Nov 25 2018,,486.30,,485.31,,486.30,,485.31,,-,,0.17%,
,Nov 18 2018,,485.47,,484.91,,485.47,,484.91,,-,,0.05%,
,Nov 11 2018,,485.23,,484.77,,485.59,,484.57,,-,,0.29%,
,Nov 04 2018,,483.82,,483.89,,484.28,,483.20,,-,,0.01%,
,Oct 28 2018,,483.78,,485.23,,485.23,,483.78,,-,,-0.30%,
,Oct 21 2018,,485.23,,482.82,,485.23,,482.82,,-,,0.18%,
,Oct 14 2018,,484.36,,482.31,,484.36,,481.99,,-,,0.62%,
,Oct 07 2018,,481.36,,481.15,,481.92,,480.53,,-,,0.14%,
,Sep 30 2018,,480.70,,481.77,,483.51,,480.70,,-,,-0.27%,
,Sep 23 2018,,482.02,,482.42,,482.42,,480.87,,-,,-0.13%,
,Sep 16 2018,,482.66,,482.94,,482.94,,482.11,,-,,-0.15%,
