,Date,,Price,,Open,,High,,Low,,Vol.,,Change %,
,Oct 13 2019,,2966.15,,2966.30,,2972.99,,2962.30,,-,,-0.14%,
,Oct 06 2019,,2970.27,,2944.23,,2993.28,,2892.66,,-,,0.62%,
,Sep 29 2019,,2952.01,,2967.07,,2992.53,,2855.94,,-,,-0.33%,
,Sep 22 2019,,2961.79,,2983.50,,3007.98,,2945.53,,-,,-1.01%,
,Sep 15 2019,,2992.07,,2996.41,,3021.99,,2978.57,,-,,-0.51%,
,Sep 08 2019,,3007.39,,2988.43,,3020.74,,2957.01,,-,,0.96%,
,Sep 01 2019,,2978.71,,2909.01,,2985.86,,2891.85,,-,,1.79%,
,Aug 25 2019,,2926.46,,2866.70,,2940.43,,2853.05,,-,,2.79%,
,Aug 18 2019,,2847.11,,2913.48,,2939.08,,2834.97,,-,,-1.44%,
,Aug 11 2019,,2888.68,,2907.07,,2943.31,,2825.51,,-,,-1.03%,
,Aug 04 2019,,2918.65,,2898.07,,2938.72,,2822.12,,-,,-0.46%,
,Jul 28 2019,,2932.05,,3024.47,,3025.61,,2914.11,,-,,-3.10%,
,Jul 21 2019,,3025.86,,2981.93,,3027.98,,2976.65,,-,,1.65%,
,Jul 14 2019,,2976.61,,3017.80,,3017.80,,2973.09,,-,,-1.23%,
,Jul 07 2019,,3013.77,,2979.77,,3013.92,,2963.44,,-,,0.78%,
,Jun 30 2019,,2990.41,,2971.41,,2995.84,,2952.22,,-,,1.65%,
,Jun 23 2019,,2941.76,,2951.42,,2954.92,,2912.99,,-,,-0.29%,
,Jun 16 2019,,2950.46,,2889.75,,2964.15,,2887.30,,-,,2.20%,
,Jun 09 2019,,2886.98,,2885.83,,2910.61,,2874.68,,-,,0.47%,
,Jun 02 2019,,2873.34,,2751.53,,2884.97,,2728.81,,-,,4.41%,
,May 26 2019,,2752.06,,2830.03,,2840.51,,2750.52,,-,,-2.62%,
,May 19 2019,,2826.06,,2841.94,,2868.88,,2805.49,,-,,-1.17%,
,May 12 2019,,2859.53,,2840.19,,2892.15,,2801.43,,-,,-0.76%,
,May 05 2019,,2881.40,,2908.89,,2937.32,,2825.39,,-,,-2.18%,
,Apr 28 2019,,2945.64,,2940.58,,2954.13,,2900.50,,-,,0.20%,
,Apr 21 2019,,2939.88,,2898.78,,2939.88,,2896.35,,-,,1.20%,
,Apr 14 2019,,2905.03,,2908.32,,2918.00,,2891.90,,-,,-0.08%,
,Apr 07 2019,,2907.41,,2888.46,,2910.54,,2873.33,,-,,0.51%,
,Mar 31 2019,,2892.74,,2848.63,,2893.24,,2848.63,,-,,2.06%,
